,Ca,Ba,Pb,K,Na,Mo,Fe,Mg,Pb,As,Y,Nb,Te,Ti,Ce,T,Ta,Al,Zn,V,Bi,Cu,Cr,Cs,La,Ni,Mn,Sr
Calciouranoite,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Calcurmolite,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Umohoite,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Richetite,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,
Boltwoodite,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Weeksite,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Arapovite,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Uramarsite,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Ishikawaite,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,
Rutherfordine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blatonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heisenbergite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmitterite,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Holfertite,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Oswaldpeetersite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soddyite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlosbarbosaite,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Haynesite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uranopilite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schoepite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iriginite,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Euxenite-(Y),,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,
Yttrotantalite-(Y),,,,,,,1,,,,1,1,,,,,1,,,,,,,,,,,
Arsenuranospathite,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
Chistyakovaite,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
Vanuralite,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
Triangulite,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Heinrichite,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
Metaheinrichite,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
Metauranocircite-I,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Francevillite,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
Guilleminite,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Billietite,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Walpurgite,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
Zellerite,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-autunite,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiweeite,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uranophane-_,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyuyamunite,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Liebigite,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phurcalite,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voglite,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Ulrichite,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Wyartite II,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Znucalite,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Davidite-(Ce),,,,,,,1,,,,1,,,,1,,,,,1,,,1,,,,,
Margaritasite,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
Vandenbrandeite,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Metazeunerite,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
Metatorbernite,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Cuprosklodowskite,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Johannite,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
Sengierite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marthozite,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Roubaultite,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Derriksite,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Bassetite,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Coconinoite,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
Sabugalite,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Carnotite,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,
Yingjiangite,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Phosphuranylite,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Davidite-(La),,,,,,,1,,,,,,,1,,,,,,1,,,1,,,1,,
Saléeite,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Sklodowskite,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Bayleyite,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Marécottite,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Larisaite,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Natroboltwoodite,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Strelkinite,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
Andersonite,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Metarauchite,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,
Senaite,,,,,,,1,,1,,1,,,1,,,,,1,1,,,1,,,,1,
Cleusonite,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,
Kasolite,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Curienite,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
Fourmarierite,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Vandendriesscheite,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Widenmannite,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Parsonsite,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Demesmaekerite,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,
Curite,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Wölsendorfite,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Dewindtite,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Crichtonite,,,,,,,1,,,,1,,,1,,,,,,1,,,1,,,,1,1
Coffinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uraninite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliffordite,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Brannerite,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
